activity_id,opp_id,type,rep_id,timestamp,duration_min
ACT00001,O00125,Call,R021,2024-09-15,30
ACT00002,O00727,E-Mail,R010,2024-07-18,15
ACT00003,O00566,Meeting,R003,2023-08-19,15
ACT00004,O00473,Call,R021,2023-06-07,60
ACT00005,O00734,Demo,R017,2024-12-23,45
ACT00006,O00426,Meeting,R016,2023-09-07,60
ACT00007,O00565,Email,R013,2023-07-15,30
ACT00008,O00072,Demo,R025,2024-02-29,45
ACT00009,O00520,Demo,R001,2023-10-17,45
ACT00010,O00602,Meeting,R005,2024-04-02,60
ACT00011,O00354,Demo,R018,2024-07-10,60
ACT00012,O00467,Demo,R007,2024-12-15,30
ACT00013,O00586,Meeting,R008,2024-02-25,15
ACT00014,O00326,Meeting,R023,2024-01-26,60
ACT00015,O00680,Email,R016,2023-02-07,30
ACT00016,O00515,Demo,R004,2024-03-26,15
ACT00017,O00539,Meeting,R001,2023-05-28,60
ACT00018,O00671,Email,R003,2024-04-25,45
ACT00019,O00347,Meeting,R021,2023-03-24,45
ACT00020,O00691,Meeting,R011,2024-10-03,60
ACT00021,O00555,Call,R020,2023-03-12,30
ACT00022,O00647,Demo,R008,2023-04-03,60
ACT00023,O00101,Call,R015,2023-06-20,45
ACT00024,O00030,Call,R011,2023-02-27,45
ACT00025,O00368,Demo,R014,2023-05-30,30
ACT00026,O00544,Meeting,R019,2024-11-29,30
ACT00027,O00175,Email,R003,2024-09-16,60
ACT00028,O00635,Email,R016,2024-08-20,30
ACT00029,O00238,Meeting,R021,2023-09-18,60
ACT00030,O00262,Call,R015,2023-10-22,30
ACT00031,O00076,Meeting,R012,2024-08-24,45
ACT00032,O00655,Meeting,R023,2023-09-14,60
ACT00033,O00310,Email,R013,2024-05-09,15
ACT00034,O00243,Meeting,R019,2024-01-03,45
ACT00035,O00717,Demo,R001,2024-11-05,60
ACT00036,O00282,Call,R019,2024-12-03,15
ACT00037,O00621,Meeting,R010,2023-08-24,45
ACT00038,O00225,Email,R020,2023-09-14,30
ACT00039,O00644,Call,R021,2024-10-23,15
ACT00040,O00317,Meeting,R002,2024-08-16,45
ACT00041,O00750,Email,R003,2023-10-30,45
ACT00042,O00766,Meeting,R006,2023-07-25,30
ACT00043,O00553,Demo,R017,2024-05-28,45
ACT00044,O00169,Demo,R016,2023-10-30,45
ACT00045,O00118,Meeting,R003,2023-05-25,30
ACT00046,O00693,Meeting,R018,2024-01-10,15
ACT00047,O00405,Call,R009,2024-07-03,15
ACT00048,O00466,Demo,R022,2024-11-19,45
ACT00049,O00599,Meeting,R021,2024-01-16,15
ACT00050,O00692,Email,R016,2023-01-26,45
ACT00051,O00625,Email,R021,2023-03-06,60
ACT00052,O00718,Demo,R021,2024-02-23,15
ACT00053,O00144,Call,R002,2023-11-08,60
ACT00054,O00119,Call,R008,2024-07-04,30
ACT00055,O00398,Meeting,R012,2024-11-17,60
ACT00056,O00602,Email,R014,2024-11-01,15
ACT00057,O00502,Meeting,R009,2023-02-03,45
ACT00058,O00223,Meeting,R015,2023-08-30,45
ACT00059,O00102,Demo,R018,2024-10-22,45
ACT00060,O00063,Meeting,R009,2023-07-14,15
ACT00061,O00466,Call,R022,2023-08-06,15
ACT00062,O00052,Demo,R008,2023-05-09,30
ACT00063,O00071,Email,R019,2023-08-10,30
ACT00064,O00337,Email,R020,2023-01-03,45
ACT00065,O00149,Email,R018,2023-09-14,30
ACT00066,O00113,Call,R005,2023-01-16,45
ACT00067,O00244,Demo,R001,2023-06-28,45
ACT00068,O00054,Email,R024,2024-03-07,15
ACT00069,O00764,Call,R016,2024-04-04,45
ACT00070,O00526,Call,R015,2024-05-30,30
ACT00071,O00630,Call,R024,2024-11-05,45
ACT00072,O00470,Call,R002,2024-05-05,60
ACT00073,O00437,Call,R016,2024-12-30,60
ACT00074,O00076,Call,R011,2024-09-14,30
ACT00075,O00068,Email,R009,2024-10-01,45
ACT00076,O00391,Demo,R015,2024-06-01,60
ACT00077,O00102,Call,R021,2024-10-28,30
ACT00078,O00441,Meeting,R008,2024-02-28,45
ACT00079,O00465,Meeting,R014,2023-04-08,45
ACT00080,O00438,Demo,R022,2023-09-19,45
ACT00081,O00157,Meeting,R003,2023-04-04,15
ACT00082,O00096,Meeting,R004,2024-01-17,30
ACT00083,O00570,Call,R019,2024-07-29,45
ACT00084,O00687,Call,R014,2023-12-29,60
ACT00085,O00739,Call,R010,2024-09-06,45
ACT00086,O00361,Call,R019,2024-06-03,30
ACT00087,O00159,Meeting,R008,2023-04-21,45
ACT00088,O00570,Demo,R004,2023-10-13,30
ACT00089,O00440,Call,R020,2024-11-04,45
ACT00090,O00030,Email,R009,2024-12-20,45
ACT00091,O00348,Demo,R001,2023-07-05,30
ACT00092,O00580,Meeting,R003,2023-05-26,15
ACT00093,O00094,Email,R013,2024-03-05,60
ACT00094,O00350,Email,R012,2023-11-16,45
ACT00095,O00796,Call,R002,2023-06-09,30
ACT00096,O00773,Call,R022,2023-03-25,45
ACT00097,O00454,Meeting,R016,2024-09-13,60
ACT00098,O00425,Demo,R007,2024-06-08,15
ACT00099,O00354,Meeting,R004,2023-10-18,60
ACT00100,O00540,Demo,R002,2023-08-14,60
ACT00101,O00614,Call,R001,2023-07-29,45
ACT00102,O00217,Email,R025,2023-09-19,45
ACT00103,O00336,Call,R001,2024-05-24,60
ACT00104,O00180,Email,R013,2024-06-29,30
ACT00105,O00513,Demo,R003,2024-02-11,15
ACT00106,O00447,Call,R015,2023-03-21,45
ACT00107,O00590,Meeting,R019,2024-02-19,60
ACT00108,O00297,Call,R013,2023-01-22,45
ACT00109,O00176,Meeting,R023,2024-01-06,15
ACT00110,O00448,Call,R008,2024-03-22,60
ACT00111,O00537,Call,R013,2023-11-14,45
ACT00112,O00227,Demo,R025,2023-06-22,15
ACT00113,O00523,Call,R017,2024-06-06,30
ACT00114,O00795,Demo,R012,2024-10-22,30
ACT00115,O00242,Call,R005,2023-09-20,30
ACT00116,O00178,Email,R025,2024-11-02,15
ACT00117,O00182,Meeting,R015,2024-07-31,60
ACT00118,O00698,Demo,,2023-11-20,30
ACT00119,O00451,Call,R016,2024-03-28,45
ACT00120,O00282,Call,R012,2024-06-03,15
ACT00121,O00318,Meeting,R015,2023-02-08,15
